"Data Source","World Development Indicators",

"Last Updated Date","2025-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Burundi","BDI","Domestic general government health expenditure per capita, PPP (current international $)","SH.XPD.GHED.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.6036118790343","8.93934290251705","8.36379360875219","7.2034130752178","13.0558302551802","11.4025075915994","13.6997984200047","14.6195556425938","9.48764193246615","12.5334689264304","12.1809986941687","21.8215312767383","16.9273910645999","10.4343011825183","19.7387400352807","18.7279880463869","16.627382073574","14.656662924052","15.1196799446535","16.7677698166327","15.7090718753452","16.9921636052979","12.8432123259995","","",
"Belgium","BEL","Domestic general government health expenditure per capita, PPP (current international $)","SH.XPD.GHED.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1658.65519121226","1771.95035702962","1861.20192700644","2104.50051781718","2247.6153924666","2294.9629463813","2407.95881200316","2502.43816656088","2763.01675260722","2983.02430166107","3112.76511466979","3241.74402478356","3404.8919605553","3514.76143634381","3636.63017825037","3821.84453794128","4033.44928389523","4188.76860242678","4380.64475584519","4598.12159214641","4913.75726141664","5276.87210896622","5555.01568984942","","",
"Benin","BEN","Domestic general government health expenditure per capita, PPP (current international $)","SH.XPD.GHED.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.0803104691206","21.5586266091437","17.4578030799311","19.4905645780259","22.2456857759567","20.7860577117364","21.8423253194149","20.6564178862829","16.4450901551352","19.2081011791788","16.7010219571061","14.7554444619997","17.4608153950325","19.0708180333498","15.203010494083","15.8780107530624","13.1451187119769","12.8737002826195","13.4745296720958","9.89691989444286","16.8816124352843","11.2874193282342","20.2980609803468","","",
"Burkina Faso","BFA","Domestic general government health expenditure per capita, PPP (current international $)","SH.XPD.GHED.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.61671458869501","9.20915458833996","10.3039735467156","10.1720099391331","18.3384391682448","14.3272981631952","17.7996530736346","18.4785840941065","18.3889538282813","22.3229197260706","18.9312220733717","20.6149716690064","16.6351730904378","26.1829604238447","26.5595230331454","24.0659097344046","43.6266090916555","51.7242714547419","44.5933512711274","49.2435438181601","63.2144108933818","66.1968004166654","70.1251541691313","","",
"Bangladesh","BGD","Domestic general government health expenditure per capita, PPP (current international $)","SH.XPD.GHED.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.6858733041579","6.13349860768772","7.79820091523572","8.42917893979639","8.95122657973412","9.09598944391216","10.5104827699944","11.6657686916931","11.3210293771877","11.6431831681723","13.3342211079418","14.71669257603","16.09505405958","16.0694853460683","16.6562685163098","16.2201515727017","21.5404164021664","24.2161884964585","25.5122982532316","25.556486663424","24.3588440047811","26.3451390431686","11.5814750300925","","",
"Bulgaria","BGR","Domestic general government health expenditure per capita, PPP (current international $)","SH.XPD.GHED.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","222.403377177967","263.105915638147","332.182700286381","366.531487580361","375.441759705374","420.792004688337","412.962223297101","438.490690628774","497.675964862927","501.722329454559","584.068741533598","603.787554065702","623.495549726367","670.76312705028","785.881723237201","757.309801456553","822.265526969846","880.415554693558","968.752072419465","1067.292582472","1303.04625958549","1622.7954247733","1607.29295966276","","",
"Bahrain","BHR","Domestic general government health expenditure per capita, PPP (current international $)","SH.XPD.GHED.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","991.760142368063","1072.47404280737","1073.2848881932","1055.14628382047","991.312470944613","986.055502790238","961.379746498381","987.148351188294","995.08017246078","1332.29385633888","1278.32233965969","1267.18157335042","1453.41482987092","1512.68641848177","1491.1699360686","1477.10954611284","1331.72137604649","1234.57950821608","1208.59205439298","1204.02542986052","1499.52210041802","1534.00951911646","1464.7157591537","","",
"Bahamas, The","BHS","Domestic general government health expenditure per capita, PPP (current international $)","SH.XPD.GHED.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","383.718249352171","413.702615441989","411.125975170614","441.25601792195","446.832585891332","463.785669150084","505.037248184832","563.555437440894","640.946535740708","687.027521893972","703.57538901116","716.001972099408","721.754516210542","787.871135895755","805.002309649601","752.488702992427","909.687635315138","1298.09891965338","1091.30865934942","1117.08822881401","1284.01615219198","1310.98581783922","1717.74249081814","","",
"Bosnia and Herzegovina","BIH","Domestic general government health expenditure per capita, PPP (current international $)","SH.XPD.GHED.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","168.946333593195","185.980126172564","210.261223385211","269.426804219839","279.166287669606","286.708905622012","333.022175243519","393.626688634033","453.585794937202","533.229539952994","557.405558794184","605.816946123476","658.616690884322","711.009567588584","744.286378761976","757.671399648558","835.823574130879","842.653789374593","909.507876708903","1007.71561655413","1105.53818019656","1210.32010263865","1201.73678117772","","",
"Belarus","BLR","Domestic general government health expenditure per capita, PPP (current international $)","SH.XPD.GHED.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","249.333571196465","274.718356640503","282.607348214969","333.995151641888","386.083932833802","450.932820588124","453.422874800377","509.29175825916","500.338372928663","488.867738372118","590.894289663121","510.9497826483","622.42508939324","676.322353077791","639.479640780312","665.2983271445","743.431931701334","727.840164897064","754.508376345269","828.052776957224","925.444195140621","1051.95721200517","1020.51241828901","","",
